157 West Street,Alden Hall,Alumni Gym,Bartlett Center,Fuller Labs,Harrington Auditorium,Salisbury Lab,Washburn Shops,Atwater Kent,Boynton Hall,Campus Center,Gordon Library,Higgins House,Project Center, Stratton Hall,Higgins Labs
,SB1,00A,,A01,OO1,OO1,,OO1,OO1,,SO1,OO2,100,OO1,OO1
,SB2,00B,,A03,OO2,OO2,,OO1A,OO2,,SO2,OO3,101,OO2,OO2
,SB3,00C,,A05,OO3,OO3,,OO1B,OO3,,OO2,OO4,102,OO3,OO3
,SB4,OO1,,A06,OO4,OO4,,OO2,OO3A,,OO3,OO5,103,OO4,OO4
,SB5,OO2,,A07,OO5,OO5,,OO3,OO4,,OO5,OO6,104,OO6,OO5
,SB6,OO3,,A09,OO6,OO6,,OO4,OO4A,,OO6,OO7,105,OO7,OO6
,SB8,B00A,,A10,OO7,OO6A,,OO4A,OO5,,OO7,OO8,106,OO9,OO7
,SB9,B00D,,A11,OO8,OO7,,OO5,OO6,,OO8,OO9,106A,OO9A,OO8
,SB10,B00F,,A12,OO8A,OO8,,OO6,OO7,,OO9,OO9A,106B,OO9B,OO9
,SB11,B00G,,A13,OO8B,OO9,,OO7,OO8,,O10,O10,106C,O10,O10
,B01,B00H,,A14,OO9,O10,,OO8,OO9,,O11,O11,106D,O11,O11
,B03,B00L,,A15,OO9A,O11,,OO9,O10,,O12,O14,106E,O12,O12
,B04,B001,,A16,OO9B,O11B,,O10,O11,,O13,O15,106F,O13,O13
,B05,B002,,A17,O10,O12,,O11,O12,,O14,O17,106G,O14,O15
,,,,Fuller Common Area,312E,254,,303,,,,,,,215
,,,,227,312F,255,,304,,,,,,,216
,,,,228,313,256,,305,,,,,,,217
,,,,231,314,300,,306,,,,,,,218
,,,,232,315,301A,,307,,,,,,,218A
,,,,233,316,302,,308,,,,,,,219
,,,,234,,303,,309,,,,,,,221
,,,,235,,304,,310,,,,,,,222
,,,,236,,305,,311,,,,,,,223
,,,,237,,306,,312,,,,,,,224
,,,,238,,306A,,313,,,,,,,225
,,,,239,,307,,314,,,,,,,226
,,,,240,,308,,315,,,,,,,227
,,,,241,,309,,316,,,,,,,228
,,,,242,,310,,317A,,,,,,,229
,,,,243,,311,,317B,,,,,,,230
,,,,244,,312,,317C,,,,,,,231
,,,,245,,313,,318,,,,,,,232
,,,,246,,314,,319,,,,,,,233
,,,,248,,315,,320,,,,,,,234
,,,,249,,316,,320A,,,,,,,234A
,,,,250,,317,,320C,,,,,,,235
,,,,301,,318,,321,,,,,,,236
,,,,306,,319,,322,,,,,,,238
,,,,307,,320,,323,,,,,,,240
,,,,310,,321,,323A,,,,,,,241
,,,,311,,322,,324,,,,,,,242
,,,,312,,326A,,324A,,,,,,,243
,,,,313,,326B,,325,,,,,,,244
,,,,314,,329,,326,,,,,,,245
,,,,315,,330,,327,,,,,,,246
,,,,316,,331,,328,,,,,,,247
,,,,317,,332,,328A,,,,,,,248
,,,,318,,333,,329,,,,,,,249
,,,,319,,334,,330,,,,,,,250
,,,,320,,401,,,,,,,,,301
,,,,330,,402,,,,,,,,,302
,,,,332,,402A,,,,,,,,,303
,,,,,,402B,,,,,,,,,304
,,,,,,402C,,,,,,,,,305
,,,,,,402E,,,,,,,,,306
,,,,,,402F,,,,,,,,,307
,,,,,,403,,,,,,,,,308
,,,,,,403A,,,,,,,,,309
,,,,,,404,,,,,,,,,310
,,,,,,405,,,,,,,,,311
,,,,,,405C,,,,,,,,,312
,,,,,,406A,,,,,,,,,313
,,,,,,406B,,,,,,,,,314
,,,,,,407,,,,,,,,,315
,,,,,,408,,,,,,,,,316
,,,,,,409,,,,,,,,,317
,,,,,,410,,,,,,,,,317A
,,,,,,411,,,,,,,,,318
,,,,,,412,,,,,,,,,319
,,,,,,413,,,,,,,,,321
,,,,,,414,,,,,,,,,323
,,,,,,415,,,,,,,,,Attic 
,,,,,,416,,,,,,,,,
,,,,,,417,,,,,,,,,
,,,,,,501,,,,,,,,,
